Species,Genus,sp,Code,
Acer pensylvanicum,Acer,pensylvanicum,ACEPEN,
Acer rubrum,Acer,rubrum,ACERUB,
Acer saccharum,Acer,saccharum,ACESAC,
Acer spicatum,Acer,spicatum,ACESPI,
Alnus incana subsp. rugosa,Alnus,incana,ALNINC,
Amelanchier canadensis,Amelanchier,canadensis,AMECAN,
Amelanchier laevis,Amelanchier,laevis,AMELAE,
Aronia melanocarpa,Aronia,melanocarpa,AROMEL,
Betula alleghaniensis,Betula,alleghaniensis,BETALL,
Betula lenta,Betula,lenta,BETLEN,
Betula papyrifera,Betula,papyrifera,BETPAP,
Betula populifolia,Betula,populifolia,BETPOP,
Cornus alternifolia,Cornus,alternifolia,CORALT,
Corylus cornuta,Corylus,cornuta,CORCOR,
Diervilla lonicera,Diervilla,lonicera,DIELON,
Fagus grandifolia,Fagus,grandifolia,FAGGRA,
Fraxinus americana,Fraxinus,americana,FRAAME,
Fraxinus nigra,Fraxinus,nigra,FRANIG,
Hamamelis virginiana,Hamamelis,virginiana,HAMVIR,
Ilex/ Nemopanthus mucronatus,Ilex,mucronatus,ILEMUC,
Kalmia angustifolia,Kalmia,angustifolia,KALANG,
Lonicera canadensis,Lonicera,canadensis,LONCAN,
Lyonia ligustrina,Lyonia,ligustrina,LYOLIG,
Myrica gale,Myrica,gale,MYRGAL,
Nyssa sylvatica,Nyssa,sylvatica,NYSSYL,
Populus grandidentata,Populus,grandidentata,POPGRA,
Populus tremuloides,Populus,tremuloides,POPTRE,
Prunus pensylvanica,Prunus,pensylvanica,PRUPEN,
Quercus alba,Quercus,alba,QUEALB,
Quercus rubra,Quercus,rubra,QUERUB,
Quercus velutina,Quercus,velutina,QUEVEL,
Rhamnus frangula,Rhamnus,frangula,RHAFRA,
Rhododendron prinophyllum,Rhododendron,prinophyllum,RHOPRI,
Ribes glandulosum,Ribes,glandulosum,RIBGLA,
Sambucus racemosa,Sambucus,racemosa,SAMRAC,
Sorbus americana,Sorbus,americana,SORAME,
Spiraea alba,Spiraea,alba,SPIALB,
Spiraea tomentosa,Spiraea,tomentosa,SPITOM,
Tilia americana,Tilia,americana,TILAME,
Ulmus americana,Ulmus,americana,ULMAME,
Vaccinium myrtilloides,Vaccinium,myrtilloides,VACMYR,
Viburnum cassinoides,Viburnum,cassinoides,VIBCAS,
Viburnum lantanoides,Viburnum,lantanoides,VIBLAN,
